Formula,pbe_band_gap,url
F2O2U1, 2.21 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c41
Br2Os1, 2.20 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aa5
Br2Ru1, 2.20 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ab1
I2Zn1, 2.19 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce1
Br6In2, 2.18 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ad7
H2Si2, 2.18 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c8c
Se1Sn1, 2.18 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e17
Br2Sn1, 2.17 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ab5
Cl2Hf2N2, 2.14 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f27
I2Sn1, 2.14 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cd0
Ge2O6Ti2, 2.13 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c7b
Br2Hf2N2, 2.12 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e9f
Ge1O1, 2.12 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c6a
Al2S2, 2.10 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a1f
Ge1I2, 2.10 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c69
Cl2Hg1, 2.09 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b95
Bi2I2S2, 2.05 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e82
I2Sn1, 2.05 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ccf
Bi2I2O2, 2.04 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e80
Br6Rh2, 2.03 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418aec
Mg2P2Se6, 2.03 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d2a
Br2Hg1, 2.03 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a92
I2Os1, 2.03 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418cbe
Br2Hf2N2, 2.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a91
Al2Se2, 2.01 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a20
Ag1P2Se6Tm1, 2.00 eV ,http://www.mathub2d.net//materials/detail/5f476356d5cc1b8bc6418a05
Hf1O2, 1.99 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c92
I2Ru1, 1.99 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418cca
Ag1Er1P2Se6, 1.98 eV ,http://www.mathub2d.net//materials/detail/5f476356d5cc1b8bc64189ff
Pb1S1, 1.98 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db3
Al6I2Te6, 1.98 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e5e
Ag1P2Sc1Se6, 1.97 eV ,http://www.mathub2d.net//materials/detail/5f476356d5cc1b8bc6418a04
Cd2P2S6, 1.96 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b84
Br2In2S2, 1.96 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ea9
O2Pd1, 1.96 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d7a
Al2Cl4, 1.95 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e58
Br2Sc2Se2, 1.94 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ef0
C1F2Si1, 1.93 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b0e
I6Ir2, 1.93 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce8
N2Si2, 1.91 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d4e
Cl2N2Zr2, 1.91 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ba0
Ga1P1, 1.90 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c5a
Pb1Se2, 1.89 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db8
I6In2, 1.89 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ce6
Fe1Ga2S4, 1.89 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c44
Cl2N2Sn2, 1.88 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f48
Sn1Te1, 1.88 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e2d
Te1Zn1, 1.87 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e35
