Formula,hse,PBE/$σ_{max}^{GSv}$,(PBE+$σ_{min}^{EN}$)-($σ_{max}^{RCORE}$-PBE),$PBE^{5/6}$,PBE*$σ_{max}^{RCOV}$/($σ_{max}^{GSv}$+$σ_{max}^{RCOV}$)
Pb1S1,2.7949650000000004,2.152924226,3.6375,1.766936702,1.6603296769999998
Al6I2Te6,2.716149,2.067270159,3.630953,1.766936702,1.5815856069999998
Ag1Er1P2Se6,2.784238,2.052728588,3.27125,1.766936702,1.628289474
Ag1P2Sc1Se6,2.6762189999999997,2.0427412869999997,3.25425,1.759496964,1.620065789
O2Pd1,3.124283,2.448654478,4.42,1.7520509290000001,1.732968639
Br2In2S2,2.868545,2.122225165,3.7,1.7520509290000001,1.6230464080000002
Cd2P2S6,3.08796,2.058134375,3.554667,1.7520509290000001,1.5735523919999999
Al2Cl4,2.664283,2.107806956,3.955,1.7445985590000002,1.572363084
I6Ir2,2.647466,2.0061261580000003,3.4075,1.729674665,1.473889515
Cl2N2Zr2,3.026459,2.105697606,3.8233339999999996,1.714724972,1.675459599
N2Si2,2.979367,2.140807241,4.105,1.714724972,1.612979306
Ga1P1,2.948155,2.068363311,3.5,1.7072403530000002,1.6033728880000002
Fe1Ga2S4,2.669816,1.986319301,3.445238,1.699749166,1.517354095
I6In2,2.809111,1.961472742,3.275,1.699749166,1.4433425819999999
Cl2N2Sn2,2.924995,2.033630821,3.666667,1.69225137,1.516789039
Sn1Te1,2.5644080000000002,1.989782336,3.275,1.69225137,1.503884588
Ga2Se2,2.726377,2.027276235,3.53,1.6847469240000001,1.542320173
Te1Zn1,2.5779080000000003,1.970860579,3.5275,1.6847469240000001,1.493719726
Br2N2Sn2,2.751346,2.008270918,3.6044440000000004,1.677235786,1.500652986
Cl2In2S2,2.802304,2.029833183,3.5022230000000003,1.669717915,1.565676694
Mn1O2,3.237294,2.278212521,4.091667,1.669717915,1.635710195
Cl2Ge2N2,3.026185,2.045550185,3.8255550000000005,1.6621932680000002,1.528054129
Cl2Sc2Se2,2.502127,2.007294333,3.465556,1.6621932680000002,1.59657003
Br6Sr1Th1,3.165432,1.909384894,2.93875,1.6621932680000002,1.477120685
Cl4Tl2,2.808011,1.989092724,3.7366660000000005,1.6621932680000002,1.483665679
Cl2N2Zr2,2.905984,2.028525443,3.6833339999999994,1.6621932680000002,1.614055321
Br6Cr2,3.3251690000000003,1.9390468109999999,3.4025,1.6546618030000002,1.469092855
Br2N2Zr2,2.872796,1.970843422,3.621111,1.647123474,1.5576095369999998
Pb1Se1,2.54613,1.9671113480000002,3.29,1.63957824,1.517776119
Bi2I2Se2,2.586566,1.9114087709999998,3.423333,1.63957824,1.4024029580000001
